playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000044,0.0,Jez,McLennan,21,185,85,43,RIGHT,SA,2018,,Tanunda (SA)/Central District (SANFL),23.0,nationalDraft,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000044.png?i10c=img.resize(scale_height:0.6),07/09/2000,CD_T1000,GCFC,Gold Coast Suns,Suns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000061,8.0,Callum,Coleman-Jones,22,200,105,40,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL),20.0,nationalDraft,KEY_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000061.png?i10c=img.resize(scale_height:0.6),13/06/1999,CD_T120,RICH,Richmond,Tigers,8.0,71.2,4.0,0.0,56.0,5.0,15.0,0.0,0.0,1.0,11.0,52.8,47.0,28.0,8.0,28.6,17.0,70.2,84.0,462.0,59.0,27.0,5.0,8.0,7.0,73.3,1.0,11.0,25.0,46.0,61.0,16.0,26.2,38.9,6.0,5.0,14.0,71.1,0.0,0.0,38.0,0.8,30.0,10.0,3.0,777.0,16.0,67.0,533.0,66.5,4.0,157.0,34.0,5.0,15.0,11.0,0.0,13.0,5.0,5.0,89.0,15.0,42.0,8.0,71.2,0.5,0.0,56.0,0.6,1.9,0.0,0.0,0.1,1.4,52.8,5.9,3.5,1.0,28.6,2.1,70.2,10.5,57.8,7.4,3.4,0.6,1.0,0.9,73.3,0.1,1.4,3.1,5.8,7.6,2.0,26.2,38.9,0.8,0.6,1.8,71.1,0.0,0.0,4.8,0.8,3.8,1.3,0.4,97.1,2.0,8.4,66.5,0.5,19.6,4.3,0.6,1.9,1.4,0.0,1.6,0.6,0.6,11.1,1.9,5.3
CD_I1000068,19.0,Chris,Burgess,25,191,94,29,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL),,other,RUCK,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000068.png?i10c=img.resize(scale_height:0.6),26/11/1995,CD_T1000,GCFC,Gold Coast Suns,Suns,19.0,79.4,10.0,0.0,163.0,12.0,29.0,3.0,25.0,12.0,25.0,60.2,109.0,38.0,13.0,34.2,87.0,66.7,174.0,1056.0,116.0,58.0,14.0,12.0,16.0,38.5,4.0,10.0,61.0,62.0,177.0,48.0,27.1,27.2,31.0,5.0,26.0,51.8,0.0,0.0,112.0,1.8,67.0,19.0,10.0,2723.0,48.0,210.0,415.0,129.0,7.0,651.0,56.0,22.0,26.0,40.0,21.0,42.0,10.0,33.0,181.0,40.0,72.0,19.0,79.4,0.5,0.0,163.0,0.6,1.5,0.2,25.0,0.6,1.3,60.2,5.7,2.0,0.7,34.2,4.6,66.7,9.2,55.6,6.1,3.1,0.7,0.6,0.8,38.5,0.2,0.5,3.2,3.3,9.3,2.5,27.1,27.2,1.6,0.3,1.4,51.8,0.0,0.0,5.9,1.8,3.5,1.0,0.5,143.3,2.5,11.1,129.0,0.4,34.3,2.9,1.2,1.4,2.1,1.1,2.2,0.5,1.7,9.5,2.1,3.8
CD_I1000072,22.0,John,Noble,24,180,73,9,RIGHT,SA,2018,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000072.png?i10c=img.resize(scale_height:0.6),25/03/1997,CD_T40,COLL,Collingwood,Magpies,22.0,77.8,0.0,4.0,0.0,1.0,53.0,9.0,75.0,12.0,2.0,23.5,96.0,0.0,0.0,0.0,199.0,79.7,409.0,1641.0,326.0,197.0,0.0,14.0,23.0,100.0,4.0,2.0,79.0,149.0,0.0,0.0,0.0,0.0,37.0,8.0,82.0,75.8,3.0,3.0,260.0,1.7,114.0,1.0,6.0,6283.0,12.0,301.0,275.0,223.1,64.0,0.0,59.0,13.0,2.0,11.0,11.0,57.0,0.0,12.0,408.0,64.0,312.0,22.0,77.8,0.0,0.2,0.0,0.0,2.4,0.4,75.0,0.5,0.1,23.5,4.4,0.0,0.0,0.0,9.0,79.7,18.6,74.6,14.8,9.0,0.0,0.6,1.0,100.0,0.2,0.1,3.6,6.8,0.0,0.0,0.0,0.0,1.7,0.4,3.7,75.8,3.0,3.0,11.8,1.7,5.2,0.0,0.3,285.6,0.5,13.7,223.1,2.9,0.0,2.7,0.6,0.1,0.5,0.5,2.6,0.0,0.5,18.5,2.9,14.2
CD_I1000223,22.0,Liam,Baker,23,173,72,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000223.png?i10c=img.resize(scale_height:0.6),27/01/1998,CD_T120,RICH,Richmond,Tigers,22.0,83.2,8.0,3.0,54.0,8.0,80.0,3.0,27.3,11.0,4.0,39.3,179.0,6.0,1.0,16.7,208.0,66.4,446.0,1601.0,296.0,137.0,21.0,33.0,12.0,43.8,11.0,7.0,156.0,208.0,0.0,0.0,0.0,0.0,65.0,16.0,101.0,57.6,4.0,1.0,238.0,1.1,88.0,7.0,3.0,6000.0,54.0,396.0,121.0,316.2,39.0,0.0,89.0,20.0,16.0,34.0,22.0,61.0,10.0,30.0,455.0,85.0,276.0,22.0,83.2,0.4,0.1,54.0,0.4,3.6,0.1,27.3,0.5,0.2,39.3,8.1,0.3,0.0,16.7,9.5,66.4,20.3,72.8,13.5,6.2,1.0,1.5,0.5,43.8,0.5,0.3,7.1,9.5,0.0,0.0,0.0,0.0,3.0,0.7,4.6,57.6,4.0,1.0,10.8,1.1,4.0,0.3,0.1,272.7,2.5,18.0,316.2,1.8,0.0,4.0,0.9,0.7,1.5,1.0,2.8,0.5,1.4,20.7,3.9,12.5
CD_I1000267,6.0,Matthew,Parker,25,188,80,37,RIGHT,WA,2018,2019,Melville (WA)/South Frem (WAFL)/St Kilda/South Frem (WAFL),47.0,nationalDraft,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000267.png?i10c=img.resize(scale_height:0.6),25/01/1996,CD_T120,RICH,Richmond,Tigers,6.0,81.1,3.0,2.0,28.0,2.0,19.0,1.0,100.0,1.0,1.0,29.5,23.0,5.0,0.0,0.0,37.0,68.4,79.0,379.0,54.0,27.0,6.0,6.0,1.0,37.5,3.0,3.0,19.0,32.0,0.0,0.0,0.0,0.0,16.0,1.0,6.0,57.4,0.0,0.0,47.0,1.5,18.0,3.0,1.0,1629.0,5.0,112.0,572.0,47.3,2.0,0.0,26.0,3.0,8.0,4.0,7.0,29.0,7.0,9.0,78.0,17.0,55.0,6.0,81.1,0.5,0.3,28.0,0.3,3.2,0.2,100.0,0.2,0.2,29.5,3.8,0.8,0.0,0.0,6.2,68.4,13.2,63.2,9.0,4.5,1.0,1.0,0.2,37.5,0.5,0.5,3.2,5.3,0.0,0.0,0.0,0.0,2.7,0.2,1.0,57.4,0.0,0.0,7.8,1.5,3.0,0.5,0.2,271.5,0.8,18.7,47.3,0.3,0.0,4.3,0.5,1.3,0.7,1.2,4.8,1.2,1.5,13.0,2.8,9.2
CD_I1000860,20.0,Lachie,Schultz,23,178,82,28,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL),57.0,nationalDraft,MEDIUM_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000860.png?i10c=img.resize(scale_height:0.6),30/11/1997,CD_T60,FRE,Fremantle,Freo,20.0,79.4,17.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,6.0,40.6,88.0,19.0,1.0,5.3,94.0,65.9,220.0,1159.0,145.0,93.0,24.0,18.0,20.0,50.0,8.0,22.0,63.0,72.0,0.0,0.0,0.0,0.0,42.0,4.0,30.0,62.8,0.0,0.0,148.0,2.1,80.0,23.0,23.0,4117.0,19.0,314.0,321.0,184.2,3.0,0.0,89.0,8.0,44.0,14.0,2.0,54.0,11.0,4.0,217.0,55.0,129.0,20.0,79.4,0.9,0.0,0.0,0.1,2.3,0.0,0.0,0.0,0.3,40.6,4.4,1.0,0.1,5.3,4.7,65.9,11.0,58.0,7.3,4.7,1.2,0.9,1.0,50.0,0.4,1.1,3.2,3.6,0.0,0.0,0.0,0.0,2.1,0.2,1.5,62.8,0.0,0.0,7.4,2.1,4.0,1.2,1.2,205.9,1.0,15.7,184.2,0.2,0.0,4.5,0.4,2.2,0.7,0.1,2.7,0.6,0.2,10.9,2.8,6.5
CD_I1000864,10.0,Lachlan,Bramble,23,181,76,16,RIGHT,VIC,2020,2021,Williamstown (VFL),,preseason,MEDIUM_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000864.png?i10c=img.resize(scale_height:0.6),19/04/1998,CD_T80,HAW,Hawthorn,Hawks,10.0,83.5,3.0,21.0,0.0,0.0,17.0,3.0,37.5,8.0,2.0,21.7,36.0,1.0,0.0,0.0,67.0,79.2,183.0,700.0,145.0,89.0,0.0,3.0,7.0,14.3,7.0,1.0,29.0,64.0,0.0,0.0,0.0,0.0,38.0,5.0,32.0,74.8,16.0,13.0,119.0,1.9,44.0,2.0,2.0,4179.0,17.0,127.0,497.0,82.4,32.0,0.0,31.0,4.0,7.0,10.0,4.0,19.0,0.0,4.0,166.0,35.0,130.0,10.0,83.5,0.3,2.1,0.0,0.0,1.7,0.3,37.5,0.8,0.2,21.7,3.6,0.1,0.0,0.0,6.7,79.2,18.3,70.0,14.5,8.9,0.0,0.3,0.7,14.3,0.7,0.1,2.9,6.4,0.0,0.0,0.0,0.0,3.8,0.5,3.2,74.8,16.0,13.0,11.9,1.9,4.4,0.2,0.2,418.0,1.7,12.7,82.4,3.2,0.0,3.1,0.4,0.7,1.0,0.4,1.9,0.0,0.4,16.6,3.5,13.0
CD_I1000887,14.0,Mitch,Lewis,23,198,100,2,RIGHT,VIC,2016,2018,Wallan (Vic)/Whittlesea (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000887.png?i10c=img.resize(scale_height:0.6),14/10/1998,CD_T80,HAW,Hawthorn,Hawks,14.0,85.6,9.0,1.0,9.0,0.0,23.0,0.0,0.0,1.0,25.0,51.7,75.0,56.0,16.0,28.6,23.0,72.5,142.0,841.0,103.0,62.0,17.0,10.0,13.0,61.1,5.0,22.0,31.0,51.0,29.0,6.0,20.7,30.9,22.0,2.0,7.0,68.1,0.0,0.0,91.0,1.8,67.0,23.0,21.0,2123.0,25.0,133.0,398.0,136.9,2.0,94.0,66.0,5.0,36.0,21.0,4.0,28.0,16.0,4.0,145.0,22.0,70.0,14.0,85.6,0.6,0.1,9.0,0.0,1.6,0.0,0.0,0.1,1.8,51.7,5.4,4.0,1.1,28.6,1.6,72.5,10.1,60.1,7.4,4.4,1.2,0.7,0.9,61.1,0.4,1.6,2.2,3.6,2.1,0.4,20.7,30.9,1.6,0.1,0.5,68.1,0.0,0.0,6.5,1.8,4.8,1.6,1.5,151.7,1.8,9.5,136.9,0.1,6.7,4.7,0.4,2.6,1.5,0.3,2.0,1.1,0.3,10.4,1.6,5.0
CD_I1000932,21.0,Tom,Doedee,24,187,89,39,RIGHT,VIC,2015,2018,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18",17.0,nationalDraft,KEY_DEFENDER,,,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/XLarge2021/1000932.png?i10c=img.resize(scale_height:0.6),01/03/1997,CD_T10,ADEL,Adelaide Crows,Crows,21.0,89.2,1.0,4.0,0.0,0.0,55.0,23.0,39.7,58.0,30.0,43.8,142.0,1.0,0.0,0.0,165.0,80.2,348.0,1347.0,279.0,154.0,1.0,22.0,19.0,50.0,1.0,1.0,93.0,145.0,0.0,0.0,0.0,0.0,20.0,60.0,173.0,75.9,23.0,18.0,203.0,1.4,100.0,1.0,0.0,5837.0,142.0,215.0,125.0,314.3,91.0,0.0,50.0,29.0,2.0,123.0,6.0,47.0,0.0,6.0,324.0,71.0,182.0,21.0,89.2,0.0,0.2,0.0,0.0,2.6,1.1,39.7,2.8,1.4,43.8,6.8,0.0,0.0,0.0,7.9,80.2,16.6,64.1,13.3,7.3,0.0,1.0,0.9,50.0,0.0,0.0,4.4,6.9,0.0,0.0,0.0,0.0,1.0,2.9,8.2,75.9,23.0,18.0,9.7,1.4,4.8,0.0,0.0,278.0,6.8,10.2,314.3,4.3,0.0,2.4,1.4,0.1,5.9,0.3,2.2,0.0,0.3,15.4,3.4,8.7
